processed_data,label
dù dịch nhưng giao hàng rất nhanh 2 màu con 502 và 403 mình có test cho bạn nào tham_khảo độ bám màu k được cao mùi cam giác giống mùi cồn 1 chút nói_chung với giá tiền này mà màu son cũng như chất son thì k chê vào đâu đc hồng đất và cam cháy nhé mn,"[1, 1, 1, 0, 0, 1, 1, 0]"
son xinh mịn môi giao hàng nhanh vỏ son cũng xinh ok mình test theo thứ_tự nha,"[0, 1, 0, 0, 0, 0, 1, 0]"
mười điểm quá tuyệt_vời luôn màu xinh cực_kì ưng cái bụng luôn ý mà giao hàng hơi chậm,"[0, 0, 0, 0, 0, 1, 1, 0]"
tưởng màu đậm nhưng test thử thì nhạt hơn mình nghĩ khá ok,"[0, 0, 0, 0, 0, 1, 0, 0]"
màu xinh mình chọn màu 501 với 302 màu lên sáng da,"[0, 0, 0, 0, 0, 1, 0, 0]"
son xinh lắm nha mng đánh lên mềm k bị khô màu chuẩn nhưng giao hàng lâu vì shop ở nước_ngoài,"[0, 1, 0, 0, 0, 1, 1, 0]"
sản_phẩm okayla lém đóng_gói cẩn_thận và đẹp_mắt đáng để mua và sài thử 1 lần,"[0, 0, 0, 0, 0, 0, 0, 1]"
son siêu đẹp đúng hàng màu xinh hàng chính hãng giao nhanh quá là xinh luôn hê hê,"[0, 0, 0, 0, 0, 1, 1, 0]"
chất son ko như mong_đợi màu cũng ko xinh nữa mùi cứ bị kiểu dổm dổm sao đó mình mua sale nên có mấy nghìn th nên coi như hên_xui v,"[0, 1, 0, 1, 0, 1, 0, 0]"
son đẹp mịn mướt okila,"[0, 1, 0, 0, 0, 0, 0, 0]"
shop gói hàng cẩn_thận và son rất xinh nhé nên mua nhé mọi người red_heart,"[0, 0, 0, 0, 0, 0, 0, 1]"
mua của shope mal nên khá an_tâm giá siêu rẻ mà son siêu lì nha bao ăn bao uống luôn mình xài nay không biết cây thứ mấy rồi nhưng vẫn rất hài_lòng,"[1, 0, 0, 1, 0, 0, 0, 0]"
chất_lượng son tốt sẽ tiếp_tục ủng_hộ shop,"[0, 0, 0, 0, 1, 0, 0, 0]"
công_dụng kết_cấu svdhjsk độ bền_màu zgsjsnsn zl,"[0, 0, 0, 0, 1, 0, 0, 0]"
son có vỏ rất sang cầm chắc tay tuy_nhiên màu này khi lên môi mình bị ngả tím khá nhiều hơi thất_vọng vì mình nghĩ màu sẽ đẹp hơn chứ khi màu lên môi mình thì bị dữ mình nghĩ mn nên tham_khảo v18 hơn là màu v17 này loudly_crying_face,"[0, 0, 0, 0, 0, 1, 0, 0]"
giao hàng 2 tuần mới đến nói_chung cũng ổn mẫu_mã đẹp hộp bị móp do vận_chuyển sẽ ủng_hộ tiếp,"[0, 0, 0, 0, 0, 0, 1, 0]"
lần thứ 2 mua màu rất ổn cho những người da ngăm như mình nên mua nhé,"[0, 0, 0, 0, 0, 1, 0, 0]"
son đẹp nha mn chất mịn giao hàng khá nhanh nên mua ạ,"[0, 1, 0, 0, 0, 0, 1, 0]"
mình cảm_thấy son mịn không bị màu sẽ không giống hình hoàn_toàn và còn tùy vào nền môi mỗi người nha nên mua dùng thử nha mn,"[0, 1, 0, 0, 0, 1, 0, 0]"
son giao nhanh lắm ạ giá rẻ tốt cho shop 5 sao ạ lần sau sẽ ung hộ nữa ạ,"[0, 0, 0, 1, 0, 0, 1, 0]"
son lên màu rất xinh và chất_lượng giao đúng mẫu nhưng thời_gian hơi lâu,"[0, 0, 0, 0, 0, 1, 1, 0]"
son nhỏ nhỏ xink xink lên màu đẹp hết chỗ chê,"[0, 0, 0, 0, 0, 1, 0, 0]"
đồ xinh lắm luôn giao hàng cũng nhanh nữa phù_hợp với giá tiền lúc trước mua hai ba lần giá cao hơn nhưng chất_lượng cũng chỉ thế này sẽ ủng_hộ shop nhiều lần nưão,"[0, 0, 0, 1, 0, 0, 1, 0]"
son xinh tương_xứng giá tiền mềm mịn lắm nha có mùi socola mình thấy k hắc đâu,"[0, 1, 1, 1, 0, 0, 0, 0]"
shop đóng_gói sản_phẩm cẩn giao đúng sản_phẩm tuy giao hàng hơi chậm do dịch nhưng chất_lượng sản_phẩm tuyệt_vời,"[0, 0, 0, 0, 0, 0, 1, 1]"
em này lì nhưng khá là bột nha khi tô lên tay có_vẻ là em khá dễ dùng nhưng lên môi thì có_thể thấy em này sẽ bị nhả ra một_chút vì có silicon không bay_hơi tô lòng môi không đc tô ful môi thì màu này sẽ bị già quá nếu kh makeup nói_chung với giá này thì kh đòi_hỏi gì hơn,"[1, 1, 0, 1, 0, 1, 0, 0]"
giao hàng mau sp ok,"[0, 0, 0, 0, 0, 0, 1, 0]"
đã nhận được hàng đúng y hình hàng nội_địa vậy là quá ok rồi sẽ ủng_hộ lâu_dài,"[0, 0, 0, 0, 1, 0, 0, 0]"
xịn thiệt sự màu son chất son đẹp khỏi bàn mua quài vẫn ko muốn đổi loại son khác,"[0, 1, 0, 0, 0, 1, 0, 0]"
hàng xinh xỉu luôn ý giao đúng gói cẩn_thận ưng lắm luôn ý sẽ ủng_hộ shop tiếp,"[0, 0, 0, 0, 0, 0, 1, 1]"
công_dụng màu son tây kết_cấu son không lì nhiều độ bền_màu nhanh trôi màu son đẹp nhưng ăn_uống rất dễ trôi,"[1, 1, 0, 0, 0, 1, 0, 0]"
hàng đẹp lắm ạ,"[0, 0, 0, 0, 1, 0, 0, 0]"
công_dụng to son đẹp ạ,"[0, 0, 0, 0, 1, 0, 0, 0]"
jixugxbn,"[0, 0, 0, 0, 1, 0, 0, 0]"
chưa biết lên môi màu tnao nhưng nhìn ngoài thấy cx xinh_xinh thank_shop nha,"[0, 0, 0, 0, 0, 1, 0, 0]"
mn nên mua nha ưng lắm ạ cảm_ơn shop nhìu,"[0, 0, 0, 0, 1, 0, 0, 0]"
giao hàng hơi lâu nhưng đóng_gói oce,"[0, 0, 0, 0, 0, 0, 1, 1]"
son chính hãng có team mac chống giả rất ưng thích lắm aạ,"[0, 0, 0, 0, 1, 0, 0, 0]"
tb de duoc huong dan chia se tai khoan chinh giua cac thue bao tra truoc qua dich vu soan ngay dk gui 9 mien phi chi tiet lh 1801091 0 d tran trong cam on,"[0, 0, 0, 0, 1, 0, 0, 0]"
màu son xinh xỉu shop chuẩn_bị hàng cũng nhanh nữa đóng_gói thì cẩn_thận không có gì để chê,"[0, 0, 0, 0, 0, 0, 0, 1]"
màu đẹp vì dịch nên shop giao hàng hơi lâu vừa giá tiền,"[0, 0, 0, 1, 0, 1, 1, 0]"
màu xinh xĩu lại thơm nữa face_blowing_a_kiss_shop đóng_gói rất kỹ và giao đúng màu ạ mọi người nên mua đi nó thơm lắm woman_gesturing_OK,"[0, 0, 1, 0, 0, 1, 0, 1]"
kemsms,"[0, 0, 0, 0, 1, 0, 0, 0]"
son lên môi rất mịn mịn như nhung ấy thơm nx mà màu xinh dễ dùng lại rẻ còn chính hãng nx nên yên_tâm_giao hàng cx nhanh đóng gọi cẩn_thận chỉnh chu,"[0, 1, 1, 1, 0, 1, 1, 1]"
son siêu xinh nên mua nha mọi người dùng ưng cái bụng gì đâu ág,"[0, 0, 0, 0, 1, 0, 0, 0]"
màu đẹp mùi thơm nhưng giao lâu quá đặt từ ngày 25 8 nhưng mà xinh xứng_đáng chờ_đợi,"[0, 0, 1, 0, 0, 1, 1, 0]"
son mướt chất đẹp như son đắt tiền tùy da môi các bạn nhưng mà màu rất ưng vỏ đẹp xinh lắm 9,"[0, 1, 0, 0, 0, 1, 0, 0]"
son lên màu xinh lắm luôn nha chất son mềm mịn mua được 2 màu ưng dễ_sợ luôn,"[0, 1, 0, 0, 0, 1, 0, 0]"
son đẹp mình mua tặng sinh_nhật bạn nên khum biết chất son ra_sao nhưng mua theo bác hằng nên oki lắm nha,"[0, 1, 0, 0, 0, 0, 0, 0]"
son kem mịn siêu xịn xò luon nka 3 màu đẹp rất đáng tiền anh shiper đz wa chời,"[0, 1, 0, 1, 0, 1, 1, 0]"
son đẹp màu xinh son lên mềm môi nhưg dễ trôi thơm giá nv à ốn ạ,"[1, 1, 1, 1, 0, 1, 0, 0]"
son đẹp vỏ ngoài đáng yêu lì mịn đáng đồng_tiền bát gạo nhưng k thơm,"[0, 1, 1, 1, 0, 0, 0, 0]"
hàng ok lắm nè hàng giống mẫu mong mọi người mua về trải_nghiệm,"[0, 0, 0, 0, 1, 0, 0, 0]"
son đẹp lắm nha,"[0, 0, 0, 0, 1, 0, 0, 0]"
quá đẹp luôn beaming_face_with_smiling_eyes giao hàng nhanh son lên màu đẹp lắm sẽ ủng_hộ shop tiếp,"[0, 0, 0, 0, 0, 1, 1, 0]"
lì màu xinh lắm,"[1, 0, 0, 0, 0, 1, 0, 0]"
màu tone tây xinh lắm ạ dùng đánh nền môi cũng đc ý nói_chung là mua mà dùng lâu hết lắm an,"[0, 0, 0, 0, 0, 1, 0, 0]"
dc,"[0, 0, 0, 0, 1, 0, 0, 0]"
giao hàng khá nhanh son rẻ đẹp shiper khác đã mua đc vài lần cơ_mà lần này có_vẻ đóng_gói hong đc kĩ lắm son chỉ đc 1 lớp bọc chống shock và 2 đầu kh bọc lại nghiên 1 cái là son rớt ra liền cơ_mà son kh bị trầy hay gì hết nên vẫn đánh_giá 5 sao sẽ ủng_hộ thêm nhiều lần nữa ạ heart_suit,"[0, 0, 0, 1, 0, 0, 1, 1]"
hehe xịn xò lắm aạ xinh mà tại mình chụp kh đẹp lắm thui màu son lên cũng đẹp lắm lúc chọn màu 502 mình cũng hơi sợ sẽ kh hợp nma đọc fb thấy tốt nên đã qđinh mua và kh phải hối_hận luôn ạ hehe màu kiểu mlb xinh_xắn tự_nhiên chất son cũng mềm mềm mịn mịn xịn lắm 10 đỉm,"[0, 1, 0, 0, 0, 1, 0, 0]"
shop giao đầy_đủ hàng đẹp son mình mua lần 2 thì đúng là kh có gì để chê cả,"[0, 0, 0, 0, 0, 0, 1, 0]"
son không lì lên màu xấu khó đánh các bạn không nên mua,"[1, 1, 0, 0, 0, 1, 0, 0]"
chọn màu lạ nhất mình chưa có nhìn ảnh review là một tone nâu lạnh không pha đỏ hay cam nhưng đánh lên môi mình có chút đỏ nói_chung các tone trầm đều dễ đánh trắng răng và trắng da chất son velvet xốp mịn bám màu tương_đối thơm nhẹ mùi bơ,"[1, 0, 1, 0, 0, 1, 0, 0]"
giao hàng siêu nhanh dù là hàng quốc_tế màu đẹp mịn mà thơm lắm na,"[0, 1, 1, 0, 0, 1, 1, 0]"
son bột quá hic tô nhạt cũng khá xinh giao hàng nhanh_chóng shiper nhiệt_tình đóng_gói cẩn_thận mỗi tội son bay_màu nhanh quá,"[1, 1, 0, 0, 0, 0, 1, 1]"
đẹp chất_lượng rẻ ạ vì hàng nước_ngoài nên giao hơi lâu,"[0, 0, 0, 1, 0, 0, 1, 0]"
mình có mua của bạn giá gấp đôi thì cảm_thấy son mua của bạn màu cam hơn khó trôi hơn nhưng vẫn vote 5 sao,"[1, 0, 0, 0, 0, 1, 0, 0]"
thời_gian vận_chuyển rất hợp_lí tôi đã đặt_hàng với tâm thế hào_hứng chờ_đợi để được trải_nghiệm sản_phẩm và tôi không hề bị chờ mỏi cổ có_thể thấy bên vận_chuyển không quản_ngại thời_tiết và đường xá xa_xôi để đưa sản_phẩm cho tôi trong thời_gian ngắn nhất,"[0, 0, 0, 0, 0, 0, 1, 0]"
rẻ đẹp,"[0, 0, 0, 1, 0, 0, 0, 0]"
son đẹp lắm cuối học_kì i gia_đình em có một chuyến du_lịch đến đà nẵng em đã cùng bố_mẹ đi thăm quan nhiều địa_điểm nổi_tiếng ở đà nẵng như cầu vàng bà_nà hils chùa linh_ứng nơi nào cũng đẹp_đẽ giống như những gì em được thấy trên vô_tuyến vậy hôm sau gia_đình em đi tắm biển ở bãi biển mỹ,"[0, 0, 0, 0, 1, 0, 0, 0]"
son khó tán màu xinh hơi mùi nhựa á nhưng hợp giá tiền nên ok giao hơi lâu,"[0, 1, 1, 1, 0, 1, 1, 0]"
cme jfe vẹn son cũng rất đẹp bthg ekdnfjd,"[0, 0, 0, 0, 1, 0, 0, 0]"
xinh xỉu lên xỉu xuống í check được mã màu đẹp với không bị khô môi lắm đâu sparkles,"[0, 1, 0, 0, 0, 1, 0, 0]"
chất son mịn mượt k bị khô môi và có mùi thơm nhẹ_nhàng dùng khá thích,"[0, 1, 1, 0, 0, 0, 0, 0]"
công_dụng lên màu đẹp kết_cấu tốt chất son mượt độ bền_màu lâu trôi giá rẻ hàng tốt sài rất thích,"[1, 1, 0, 1, 0, 1, 0, 0]"
hàng quốc_tế nên giao hơi lâu màu son giống hình có mùi xà khá lì,"[1, 0, 1, 0, 0, 1, 1, 0]"
rát tin_tưởng khi mua đô ở tgsf nha chất_lượng mà_còn an_toàn uy_tín nữa,"[0, 0, 0, 0, 1, 0, 0, 0]"
công_dụng son lên màu đẹp kết_cấu khá li_độ bền_màu khá dep d giao hàng nhanh đóng gói hàng cẩn_thận chất_lượng sẽ ủng_hộ nữa ạ,"[1, 1, 0, 0, 0, 1, 1, 1]"
h a mang tc nhận xu son màu đẹp 2 màu đều rất hịn thơm mùi sô_cô_la mà đánh lên thì nhẹ ko bết hay nặng môi xịn OK_hand_light_skin_tone,"[0, 1, 1, 0, 0, 1, 0, 0]"
giao đúng đủ thumbs_up đóng_gói warning màu lên chuẩn đỏ cam red_heart sẽ ủng_hộ shop tiếp smiling_face_with_sunglasses,"[0, 0, 0, 0, 0, 1, 1, 1]"
công_dụng son môi kết_cấu đóng_gói bao_bì đẹp son lên màu đẹp độ bền_màu son lên màu đẹp đánh son để khô bám lâu,"[1, 1, 0, 0, 0, 1, 0, 0]"
son ở đây xinh lắm giá hạt rẻ giao hàng nhanh video mang tính_chất nhận xu nè hihi,"[0, 0, 0, 1, 0, 0, 1, 0]"
đóng gói kĩ vận_chuyển từ nước_ngoài về nên hơi lâu nhưng son rất tệ hình_ảnh và video mang tính_chất nhận xu,"[0, 0, 0, 0, 0, 0, 1, 1]"
đẹp xuất_sắc,"[0, 0, 0, 0, 1, 0, 0, 0]"
sản_phẩm ok lắm nha lì lắm nhưng hơi sai khi chọn màu màu này lên môi tươi lắm nha,"[1, 0, 0, 0, 0, 1, 0, 0]"
môi khô thì ko nên dùng nó k đẹp thứ hai là khi tô lên môi hơi bột tý mùi thì hắc quá nó k đc thơm cái mùi của nó kiểu như bị hóa_chất kiểu gì ấy màu lên thì đẹp cũng đều chút tạm được mà dùng nhìu k bik có sao k chắc lâu_lâu dùng để mix màu thì đc,"[0, 1, 1, 0, 0, 1, 0, 0]"
son đóng_gói kỹ bên ngoài thì xinh_xắn chất thì mềm mịn siêu ưng chỉ là hơi mau trôi xíu thôi,"[1, 1, 0, 0, 0, 0, 0, 1]"
bạn yến từ khi nào văn_bản thế nhỉ có chăng cuộc_sống đưa_đẩy bạn đến bức đường_cùng để bạn phải nói ra những điều như thế một nghiệp 1 tâm_hồn,"[0, 0, 0, 0, 1, 0, 0, 0]"
son đẹp mịn sài chất siu thích,"[0, 1, 0, 0, 0, 0, 0, 0]"
màu son không hợp da mình cho lắm mình tông da cũng khá trắng son siêu lì tưởng son nhẹ nhẹ dạng nước mà nó tệp hẳn vào da ngay_lập_tức,"[1, 1, 0, 0, 0, 1, 0, 0]"
màu sơn đẹp lắm nha cũng không lì và giữ màu lâu ăn sẽ trôi nhưng được_cái kg bị khô môi đâu mua 2 cây 9 k quá rẻ luôn nước_ngoài nên ship về hơi lâu,"[1, 1, 0, 1, 0, 1, 1, 0]"
đóng gói sản_phẩm cẩn_thận chất lươngj sản_phẩm siêu_tuyệt_vời,"[0, 0, 0, 0, 0, 0, 0, 1]"
